file,bytes,sha256
DATA_FEASIBILITY_AUDIT_V1.md,29384,7aac9dbb4f73fdaf42f5da4470d17d6bc24ee16af55a8bd6e5d24324628ebd53
archive_inventory.csv,1037,8ef647355c9ea365b4d26bf099435580ff469241d534ff4f8b4f4bb61b1c327e
audit_evidence.json,3607,763541c7de05dfc319d06f3d0be29d4caac8c55fc75f050a9ba16071f9a12f7a
audit_evidence_export.py,29687,541f403f7eea11a9b181b87faecaab014d2b2cd006aa2505e386488a1c4e98e6
claim_identifiability.csv,1061,80ccad1083fe279bdb5c031ed14322725d34e288bd974432dafe908717567abd
collector_gap_inventory.csv,687,da56b07fb0d0f73bcb0b4512f931a91191a0bc1a323e3e1bac3be419301e8e2a
data_quality_findings.csv,1542,0b14109fa396c2d030e07f10eb0724c70c38b30f78855e108c1922e23ed957b5
database_inventory.csv,3880,8a9ff79dc22efedde8e48b1b3b4b2f262f3804603e5fc18fef51054cac659037
event_data_coverage.csv,6037,87cb1a6b137f8d13e170c017de802cf295ea492f5d20dbb3e24bd4bf3869cdf7
feature_provenance.csv,1786,76f25223120ae2a57c7926cf3d07ca2959a1868ec63d7d0c059b7ad3f1f420c4
feed_semantic_timeline.csv,2007,be7c5ca1c3e2bddd6127350d9db1e9e6a88b30fb35ff79cde8c614cbf1be46b0
go_stop_matrix.csv,903,60b7b2a46eb98d25874f6075813fead94e0cbb758f49b89869e1cb944710d35c
historical_e_der_observability_matrix.csv,10186,3c639baa31f184d243cbe793de66fa5705481afb8ce86c87a6d88202b0c5db8b
result_reconciliation_event_level.csv,2757,ad9832a5c0c34bd37e1c9687269d4f72980e059721b1d7193ffa6166f453b106
result_reconciliation_summary.json,538,5f6f3a174730a47d5a6972f0ec76d5447e4c1b0c84555e6410edc7f032e65bf2
schema_inventory.csv,58882,251912365730050d5610e7ef71cb529116119d392c70bcbe3f0c6f3982d6e2d4
